Gene ID, Cluster # 
At4g27280, 4.4 
At4g27680, 4.4 
At4g27830, 2 
At4g28570, 4.4 
At4g30120, 4.4 
At4g31330, 4.4 
At4g31410, 4.2 
At4g33020, 4.4 
At4g33430, 4.2 
At4g33910, 4.4 
At4g34390, 4.4 
At4g34630, 4.4 
At4g35910, 4.4 
At4g36610, 2 
At4g36680, 3 
At4g39330, 2 
At4g39940, 2 
At4g39980, 4.4 
At5g01870, 4.3 
At5g02290, 4.4 
At5g02490, 3 
At5g03030, 4.3 
At5g04850, 4.4 
At5g05640, 2 
At5g05790, 3 
At5g07130, 2 
At5g07270, 4.2 
At5g09270, 4.4 
At5g09480, 4.4 
At5g13190, 4.4 
At5g14520, 4.4 
At5g15730, 4.4 
At5g15870, 4.4 
At5g16750, 4.4 
At5g19410, 4.3 
At5g20270, 2 
At5g20910, 4.4 
At5g22060, 4.2 
At5g23170, 4.4 
At5g23190, 2 
At5g24090, 4.4 
At5g25890, 3 
At5g26180, 4.4 
At5g26760, 4.4 
At5g27760, 4.4 
At5g35080, 4.2 
At5g35580, 4.4 
At5g35910, 4.4 
At5g37690, 4.4 
At5g39040, 4.4 
At5g40170, 4.4 
At5g40370, 4.4 
At5g40540, 4.4 
At5g40590, 4.4 
At5g41180, 4.4 
At5g41670, 4.4 
At5g42150, 4.4 
At5g42470, 4.4 
At5g44550, 4.4 
At5g45070, 4.4 
At5g45110, 4.4 
At5g46050, 4.3 
At5g47020, 4.4 
At5g47120, 4.4 
At5g47230, 4.4 
At5g48070, 4.3 
At5g48120, 4.4 
At5g48370, 4.2 
At5g48540, 4.4 
At5g51160, 4.4 
At5g51660, 4.2 
At5g52820, 4.4 
At5g53130, 4.4 
At5g54490, 4.3 
At5g54670, 4.2 
At5g54860, 4.4 
At5g55180, 4.3 
At5g58290, 4.2 
At5g58860, 4.4 
At5g59440, 4.4 
At5g59490, 4.4 
At5g61900, 4.4 
At5g62050, 4.4 
At5g62630, 4.4 
At5g64760, 4.4 
At5g65750, 4.4 
At5g66070, 4.4 
At5g66140, 3 
At5g66180, 4.4 
At5g66690, 4.4 
At1g01170, 2 
At1g02340, 2 
