AGI,0,3,6,12,24,48,72
At1g01120,1.9693,1.7119,1.8791,2.1768,3.0768,4.5018,4.0479
At1g04780,1.4566,1.5177,1.3406,1.4652,2.2575,3.2515,2.9693
At1g04810,2.0736,2.2788,2.1276,2.14,3.261,4.3343,3.5884
At1g05010,1.1431,1.4156,1.5664,1.6767,2.5155,4.9249,3.9081
At1g05680,0.7686,0.8197,0.7305,0.7156,3.3888,9.2927,7.3063
At1g07970,1.0207,1.1279,1.019,1.1182,1.4024,1.7829,1.6914
At1g08250,1.1323,1.2307,1.1474,1.3175,1.4043,1.7899,1.4766
At1g08720,0.9671,0.9663,0.9095,0.965,1.2136,1.5824,1.4982
At1g09100,1.3595,1.6246,1.4155,1.553,2.5016,4.2143,3.5896
At1g09790,0.7087,0.6592,0.7399,0.8425,2.3359,4.1921,3.7281
At1g09840,1.7914,1.8947,1.7086,1.9122,2.9139,4.0466,3.5614
At1g10050,1.0164,0.9511,0.9342,0.9423,1.3325,1.609,1.4507
At1g11020,1.18,1.1608,1.1667,1.1142,1.535,2.0944,1.9915
At1g11400,1.4384,1.5728,1.3971,1.529,1.8063,2.2579,2.0784
At1g11790,1.1868,1.2259,1.2362,1.2543,1.5779,2.0346,1.9289
At1g14360,1.6287,2.1514,1.533,1.6516,3.5936,5.3969,4.0257
At1g15170,0.7532,0.7991,0.7982,0.8083,1.0231,1.3907,1.2784
At1g15420,1.4123,1.6682,1.4047,1.4544,2.1076,2.8404,2.5984
At1g15780,1.4696,1.5995,1.3893,1.5369,2.4485,3.3052,2.9308
At1g16150,0.8621,0.8885,0.9155,1.005,1.7677,3.1237,2.6283
At1g16900,1.1535,1.251,1.1234,1.2051,1.514,1.9814,1.7211
At1g17180,1.9409,2.0476,1.94,1.7289,7.9293,15.9356,12.9854
At1g17560,1.0625,1.1986,1.1768,1.1538,1.3874,1.6653,1.4437
At1g17690,1.5321,1.7117,1.5552,1.6274,2.0401,2.5444,2.232
At1g18380,1.0462,1.1293,1.12,1.1624,1.9448,2.9927,2.7457
At1g18850,1.2917,1.4362,1.2867,1.5175,1.8726,2.7712,2.2789
At1g19850,0.9465,0.9969,1.0322,1.2807,2.5177,4.9218,4.4026
At1g19880,1.0956,1.1034,1.0891,1.0692,1.5057,2.0908,1.9061
At1g20030,0.7687,0.7432,0.7429,0.8289,0.9785,1.3392,1.0388
At1g20510,1.1024,1.0445,1.084,1.0184,1.3913,1.726,1.4527
At1g23330,1.2211,1.3017,1.1452,1.294,1.5553,2.0572,1.8723
At1g25275,3.5718,5.2063,4.8217,5.2291,8.1918,15.1574,12.548
At1g25280,2.4298,2.1503,1.9965,1.8922,3.6991,4.9863,3.9719
At1g25350,2.4123,2.318,2.4854,2.5409,3.3132,4.1045,3.3723
At1g25540,1.3157,1.3012,1.2093,1.2714,1.6448,2.1154,1.9771
At1g26930,0.8122,0.825,0.8605,0.8163,0.977,1.3284,1.2024
At1g27770,1.9976,2.4242,2.0359,2.2267,3.3726,4.5988,4.1306
At1g28200,1.5472,1.7366,1.707,1.561,3.2425,4.8987,4.331
At1g30700,2.78,4.0561,3.0421,3.5802,5.5142,9.322,6.854
